train_r2_step,epoch,step,valid_loss,valid_r2,train_loss,train_r2_epoch,test_loss,test_r2
0.38891512155532837,0,49,,,,,,
,0,66,0.6969218850135803,0.33858710527420044,,,,
,0,66,,,0.6707051396369934,0.3019857704639435,,
0.48079973459243774,1,99,,,,,,
,1,133,0.6453929543495178,0.3874906301498413,,,,
,1,133,,,0.5265483260154724,0.44182243943214417,,
0.4876353144645691,2,149,,,,,,
0.4936615824699402,2,199,,,,,,
,2,200,0.6192638874053955,0.4122884273529053,,,,
,2,200,,,0.4947388768196106,0.47982317209243774,,
0.3486871123313904,3,249,,,,,,
,3,267,0.6028845906257629,0.42783308029174805,,,,
,3,267,,,0.4799383282661438,0.49260783195495605,,
0.4925060272216797,4,299,,,,,,
,4,334,0.5935390591621399,0.43670254945755005,,,,
,4,334,,,0.45882365107536316,0.5177951455116272,,
0.6238720417022705,5,349,,,,,,
0.4747527837753296,5,399,,,,,,
,5,401,0.586013674736023,0.44384443759918213,,,,
,5,401,,,0.4656231999397278,0.5056716799736023,,
0.44374215602874756,6,449,,,,,,
,6,468,0.5803920030593872,0.44917958974838257,,,,
,6,468,,,0.4540356397628784,0.5259141325950623,,
0.6306146383285522,7,499,,,,,,
,7,535,0.5763712525367737,0.45299553871154785,,,,
,7,535,,,0.4503553807735443,0.5322312116622925,,
0.4834160804748535,8,549,,,,,,
0.5599496364593506,8,599,,,,,,
,8,602,0.5724493861198425,0.4567176103591919,,,,
,8,602,,,0.4388652443885803,0.5367087721824646,,
0.37267905473709106,9,649,,,,,,
,9,669,0.5735891461372375,0.4556359648704529,,,,
,9,669,,,0.44383102655410767,0.5281978845596313,,
0.4637240767478943,10,699,,,,,,
,10,736,0.5696951746940613,0.4593314528465271,,,,
,10,736,,,0.43168914318084717,0.5510608553886414,,
0.6224262714385986,11,749,,,,,,
0.5564229488372803,11,799,,,,,,
,11,803,0.5686748623847961,0.46029984951019287,,,,
,11,803,,,0.43566232919692993,0.5402340888977051,,
0.6121521592140198,12,849,,,,,,
,12,870,0.5667603611946106,0.4621167778968811,,,,
,12,870,,,0.4366632401943207,0.5394213199615479,,
0.6381237506866455,13,899,,,,,,
,13,937,0.5661795735359192,0.46266794204711914,,,,
,13,937,,,0.4331958591938019,0.5414429903030396,,
0.5446858406066895,14,949,,,,,,
0.5662661790847778,14,999,,,,,,
,14,1004,0.5657244324684143,0.4630998969078064,,,,
,14,1004,,,0.43017831444740295,0.5456224679946899,,
0.49210041761398315,15,1049,,,,,,
,15,1071,0.5652695894241333,0.46353161334991455,,,,
,15,1071,,,0.43755537271499634,0.5326046943664551,,
0.41356247663497925,16,1099,,,,,,
,16,1138,0.5633018612861633,0.4653990864753723,,,,
,16,1138,,,0.4350915551185608,0.5436801314353943,,
0.45626187324523926,17,1149,,,,,,
0.622796893119812,17,1199,,,,,,
,17,1205,0.5631482005119324,0.4655448794364929,,,,
,17,1205,,,0.42059794068336487,0.5600936412811279,,
0.6877540946006775,18,1249,,,,,,
,18,1272,0.5634958148002625,0.46521496772766113,,,,
,18,1272,,,0.420036256313324,0.5608823299407959,,
0.5571907162666321,19,1299,,,,,,
,19,1339,0.5622816681861877,0.46636730432510376,,,,
,19,1339,,,0.42021632194519043,0.5603660941123962,,
,20,1340,,,,,0.5622816681861877,0.46636730432510376
